voting_number,name,nic,district_id
V0703,Uma Harris,835019295V,D04
V0704,Hannah Brown,514253064V,D17
V0705,Edward Smith,702013656V,D13
V0706,Diana Anderson,886170119V,D12
V0707,Wendy Rodriguez,906291223V,D11
V0708,Fiona Thompson,432607354V,D01
V0709,Bob Anderson,826575079V,D13
V0710,Quentin Smith,864363335V,D20
V0711,Oscar Anderson,552370088V,D25
V0712,Zane Davis,962265281V,D11
V0713,Laura Taylor,342130729V,D15
V0714,Yasmin Thompson,151662676V,D13
V0715,Laura Martinez,652017377V,D14
V0716,Oscar Smith,460433487V,D21
V0717,Paula Jackson,578010067V,D16
V0718,Xavier Robinson,953943809V,D08
V0719,Victor Thomas,180267542V,D23
V0720,Wendy Jackson,837877434V,D25
V0721,Zane Martin,176025536V,D04
V0722,Edward Martin,462150421V,D17
V0723,Wendy Jackson,593342679V,D05
V0724,Bob Rodriguez,691731160V,D12
V0725,Sam Lee,746501231V,D14
V0726,Uma Taylor,636109041V,D22
V0727,Diana Brown,243536591V,D16
V0728,Quentin Wilson,552468933V,D11
V0729,Alice Thompson,891248326V,D24
V0730,Julia Lee,847783894V,D09
V0731,Victor Lee,430538402V,D16
V0732,Tina Taylor,956487581V,D06
V0733,Bob Walker,221143508V,D07
V0734,Hannah Lewis,878951128V,D16
V0735,Alice Taylor,176564731V,D24
V0736,Xavier Lee,413230055V,D16
V0737,Victor Rodriguez,729673177V,D22
V0738,Uma Anderson,538544333V,D23
V0739,Nina Rodriguez,561145807V,D11
V0740,Julia Martin,538444214V,D01
V0741,Alice Lewis,762555570V,D14
V0742,Victor Thomas,114755862V,D01
V0743,Yasmin Martinez,664752725V,D14
V0744,Edward Davis,264245756V,D25
V0745,Michael Martinez,502224320V,D19
V0746,Yasmin Clark,892955318V,D23
V0747,Uma Garcia,781457816V,D07
V0748,Edward Thomas,182018258V,D08
V0749,Wendy Lewis,589268931V,D08
V0750,Ian Thomas,304512420V,D02
V0751,Edward Anderson,337712677V,D21
V0752,Yasmin Thomas,489121781V,D22
V0753,Hannah Thompson,555465930V,D13
V0754,Alice Lee,955205363V,D10
V0755,Sam Robinson,954737070V,D23
V0756,Tina Smith,504248496V,D11
V0757,Edward Wilson,613520918V,D02
V0758,Michael Taylor,686966076V,D25
V0759,Uma Robinson,131094804V,D05
V0760,Edward Jackson,948672048V,D10
V0761,Michael Garcia,947084722V,D02
V0762,Paula Davis,826128295V,D01
V0763,Julia Anderson,584129249V,D15
V0764,Diana Harris,937217428V,D11
V0765,Charlie Thomas,466063533V,D04
V0766,Yasmin White,156380566V,D11
V0767,Fiona Harris,648163341V,D20
V0768,George White,999275787V,D06
V0769,Julia Jackson,719800859V,D17
V0770,Victor Wilson,150339336V,D01
V0771,Kevin Taylor,571368173V,D14
V0772,Bob Davis,754283336V,D21
V0773,Rachel Anderson,499171735V,D22
V0774,Uma Garcia,798422251V,D19
V0775,Rachel Rodriguez,439933058V,D06
V0776,Wendy Taylor,684963943V,D10
V0777,Uma Davis,331359786V,D17
V0778,Nina Wilson,922148940V,D07
V0779,Oscar Anderson,367459088V,D05
V0780,Michael Rodriguez,581044183V,D08
V0781,Charlie Smith,690048901V,D10
V0782,Edward Thompson,846225908V,D22
V0783,Hannah Jackson,789169819V,D05
V0784,Paula Walker,209056535V,D09
V0785,Ian Smith,749825011V,D18
V0786,Oscar Clark,403439880V,D12
V0787,Laura Lewis,451388138V,D18
V0788,Zane Robinson,916159483V,D23
V0789,Yasmin Clark,291758787V,D17
V0790,Bob White,492050427V,D08
V0791,Ian Martinez,581834049V,D09
V0792,Julia Garcia,703703223V,D21
V0793,Julia Taylor,613454377V,D12
V0794,Zane Taylor,620658519V,D18
V0795,Wendy Harris,486791540V,D03
V0796,Yasmin Lee,572115582V,D02
V0797,Alice Martinez,922526327V,D04
V0798,Diana Thompson,663216107V,D22
V0799,Alice Lee,691248732V,D04
V0800,Julia Thomas,262195827V,D02
V0801,Yasmin Walker,572556424V,D18
V0802,Xavier Davis,876971306V,D18
V0803,Xavier Martinez,524766792V,D14
V0804,Diana Jackson,651958466V,D06
V0805,Tina Davis,168143304V,D05
V0806,Yasmin Martin,329073907V,D23
V0807,Edward Thomas,156933347V,D02
V0808,Quentin Lewis,949903125V,D03
V0809,Xavier Smith,368655508V,D07
V0810,Paula Smith,906523230V,D13
V0811,Quentin White,548449432V,D23
V0812,Hannah Martinez,406874607V,D18
V0813,Laura Rodriguez,442859743V,D04
V0814,Julia Martinez,961427054V,D19
V0815,Laura Harris,962444660V,D25
V0816,Oscar Davis,632127275V,D15
V0817,Laura Lewis,692122082V,D04
V0818,Julia Rodriguez,959972082V,D13
V0819,Tina Davis,659363287V,D10
V0820,Bob Robinson,614376831V,D01
V0821,Sam Lewis,198581010V,D12
V0822,Julia White,140369031V,D20
V0823,Victor Jackson,469119540V,D19
V0824,Wendy Lewis,373380096V,D21
V0825,Bob Walker,114597123V,D02
V0826,Uma Brown,295212031V,D16
V0827,Tina Harris,377702797V,D07
V0828,Wendy White,492505768V,D16
V0829,Ian Martin,598161197V,D05
V0830,Tina Jackson,287731217V,D10
V0831,Sam Wilson,522902822V,D01
V0832,George Martinez,227689374V,D16
V0833,George Taylor,411784843V,D08
V0834,George Lee,496160629V,D11
V0835,Quentin Thomas,400580721V,D09
V0836,Paula Jackson,564176989V,D12
V0837,Julia Brown,653108272V,D22
V0838,Oscar Clark,218088581V,D08
V0839,Charlie Martin,588157421V,D14
V0840,Xavier Anderson,157542510V,D07
V0841,Xavier Anderson,205004538V,D17
V0842,Kevin Rodriguez,930448042V,D09
V0843,Zane White,399852997V,D08
V0844,Quentin Martinez,374365747V,D24
V0845,Bob Martinez,436586443V,D20
V0846,Laura Martinez,478241555V,D04
V0847,Laura Thomas,582781497V,D06
V0848,Hannah Davis,282905911V,D10
V0849,Rachel Clark,302600772V,D23
V0850,Rachel Harris,699967526V,D03
V0851,Nina Clark,483103209V,D03
V0852,Sam Martinez,494570938V,D13
V0853,Oscar Davis,922692565V,D04
V0854,Uma Smith,446784879V,D07
V0855,Julia Lewis,987436013V,D20
V0856,Wendy Rodriguez,760123872V,D12
V0857,Quentin Robinson,811163191V,D25
V0858,Wendy Harris,117625475V,D11
V0859,Zane Robinson,525566468V,D22
V0860,Yasmin Smith,763365012V,D15
V0861,Rachel Davis,130506269V,D14
V0862,Bob White,969930479V,D25
V0863,Laura Taylor,551050185V,D13
V0864,Julia Thomas,416084059V,D11
V0865,Laura Taylor,618940171V,D07
V0866,Julia Jackson,538465804V,D11
V0867,Yasmin Martinez,529389092V,D11
V0868,Kevin Jackson,402869372V,D11
V0869,Bob Smith,254665430V,D03
V0870,Zane Anderson,484158728V,D06
V0871,Tina Wilson,857055722V,D12
V0872,Edward Brown,161550608V,D03
V0873,Bob Wilson,225258205V,D13
V0874,Julia Walker,914277022V,D06
V0875,Paula Davis,387237760V,D25
V0876,Ian Thompson,523629100V,D21
V0877,Julia Harris,218958911V,D14
V0878,Tina Smith,807176490V,D07
V0879,Sam Taylor,759969974V,D03
V0880,Michael Robinson,957509475V,D06
V0881,Oscar Robinson,532645046V,D19
V0882,Yasmin Harris,885541284V,D14
V0883,Nina Robinson,203617436V,D15
V0884,Wendy White,270629848V,D08
V0885,Rachel Robinson,432633096V,D02
V0886,Diana Anderson,221309999V,D14
V0887,Wendy Martin,847968929V,D25
V0888,Uma Walker,418675030V,D06
V0889,Xavier Garcia,246971373V,D23
V0890,Alice Walker,456869930V,D02
V0891,Uma Clark,201988177V,D05
V0892,Julia White,241512225V,D19
V0893,Uma Wilson,474924468V,D21
V0894,Oscar Smith,662275073V,D07
V0895,Rachel White,879700655V,D05
V0896,Oscar Harris,766140696V,D20
V0897,Nina Thompson,660269082V,D17
V0898,Bob Martinez,475123796V,D10
V0899,Tina Lewis,263848869V,D21
V0900,Alice Rodriguez,426614467V,D13
V0901,Edward Davis,514445239V,D10
V0902,Hannah Martinez,312558346V,D17
V0903,Sam Smith,776840613V,D17
V0904,Edward Jackson,674017707V,D08
V0905,Tina Martin,848978372V,D01
V0906,Oscar Lewis,628789752V,D08
V0907,Michael Smith,814796490V,D03
V0908,Edward Harris,979512514V,D17
V0909,Xavier Clark,834028141V,D19
V0910,Diana Lee,511546033V,D11
V0911,Nina Harris,460102577V,D14
V0912,Tina Davis,731898127V,D17
V0913,Hannah Anderson,564963514V,D10
V0914,Charlie Taylor,243748236V,D10
V0915,Ian Lewis,742010472V,D04
V0916,Hannah Brown,595799168V,D01
V0917,Rachel Anderson,823566384V,D19
V0918,Julia Martin,136346428V,D19
V0919,Paula Walker,138293904V,D04
V0920,Kevin Thomas,826861650V,D14
V0921,Laura Anderson,134269821V,D09
V0922,Charlie Martinez,265394425V,D06
V0923,Hannah Wilson,257359428V,D23
V0924,Nina White,493156608V,D03
V0925,George Lee,828429230V,D22
V0926,Tina Walker,520767018V,D12
V0927,Hannah Thomas,460073956V,D02
V0928,Fiona Thompson,125584185V,D12
V0929,Edward Garcia,504524132V,D19
V0930,Charlie Harris,947080682V,D11
V0931,Quentin Anderson,530151757V,D22
V0932,Julia Jackson,444847145V,D12
V0933,George Garcia,816054206V,D11
V0934,Uma White,927927609V,D18
V0935,George Wilson,773256269V,D18
V0936,Wendy Davis,108209919V,D06
V0937,Victor Martinez,411876556V,D19
V0938,Paula Harris,518398803V,D05
V0939,Laura Rodriguez,412209644V,D20
V0940,Charlie Thomas,791086731V,D13
V0941,Zane Rodriguez,578984407V,D06
V0942,Oscar Anderson,206802507V,D04
V0943,Laura Garcia,720612567V,D14
V0944,Tina Robinson,399203719V,D07
V0945,Edward Thomas,236277407V,D05
V0946,Sam Lewis,589928566V,D22
V0947,Paula Rodriguez,690030091V,D14
V0948,Fiona Lewis,273534627V,D07
V0949,Paula Jackson,999301511V,D23
V0950,Paula White,443584002V,D19
V0951,Julia Brown,303801830V,D17
V0952,Quentin Lewis,907098166V,D13
V0953,Rachel Garcia,444423719V,D02
V0954,Nina White,235778792V,D18
V0955,Alice Walker,218211793V,D24
V0956,Alice Garcia,348330974V,D04
V0957,Nina Lee,929080560V,D25
V0958,Victor Garcia,617877196V,D18
V0959,Edward Lewis,915397913V,D09
V0960,Bob Martin,255082832V,D22
V0961,Victor Jackson,543703442V,D07
V0962,Quentin Thomas,252937096V,D22
V0963,Bob Smith,263946997V,D10
V0964,Fiona Thomas,863211727V,D14
V0965,Alice White,465033922V,D22
V0966,Xavier Martin,867577897V,D03
V0967,Zane Martin,584081862V,D14
V0968,Oscar Clark,380393861V,D23
V0969,Edward Rodriguez,796436991V,D02
V0970,Tina Taylor,754361530V,D23
V0971,Oscar Harris,295821988V,D23
V0972,Kevin Jackson,628211657V,D11
V0973,Sam Walker,741772469V,D20
V0974,Tina Davis,539836164V,D20
V0975,Diana Clark,144170478V,D07
V0976,Charlie Brown,974805103V,D07
V0977,Sam Anderson,301295693V,D22
V0978,Yasmin Wilson,977045951V,D17
V0979,Victor Clark,495113159V,D15
V0980,Charlie Anderson,871502634V,D22
V0981,Julia Davis,775606801V,D19
V0982,Xavier Clark,152361482V,D09
V0983,George Lewis,398439246V,D23
V0984,Bob Lewis,800489121V,D07
V0985,Yasmin Smith,232030852V,D20
V0986,Nina Taylor,884227067V,D25
V0987,Xavier Taylor,104273203V,D23
V0988,Sam Clark,491365408V,D17
V0989,Kevin Thompson,327539169V,D05
V0990,Michael White,458516376V,D23
V0991,Michael Martin,523728020V,D17
V0992,Julia Robinson,372089481V,D01
V0993,Zane Walker,145974360V,D14
V0994,Alice Taylor,141405671V,D18
V0995,Julia Harris,764539119V,D21
V0996,Charlie Anderson,249130686V,D10
V0997,Sam Thomas,990088476V,D07
V0998,Yasmin Thomas,797254272V,D11
V0999,Wendy Martinez,996738649V,D05
V1000,Alice Lee,503167294V,D20
V1001,Wendy Wednesday,230261882V,D16
V1002,Wendy Octor,230261991V,D25
